epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.9743,0.0122,1.0000,1.0000,0.0001
1,1.0000,0.0001,1.0000,1.0000,0.0000
2,1.0000,0.0000,1.0000,1.0000,0.0000
3,1.0000,0.0000,1.0000,1.0000,0.0000
4,1.0000,0.0000,1.0000,1.0000,0.0000
5,1.0000,0.0000,1.0000,1.0000,0.0000
6,1.0000,0.0000,1.0000,1.0000,0.0000
7,1.0000,0.0000,1.0000,1.0000,0.0000
8,1.0000,0.0000,1.0000,1.0000,0.0000
9,1.0000,0.0000,1.0000,1.0000,0.0000
10,1.0000,0.0000,1.0000,1.0000,0.0000
11,1.0000,0.0000,1.0000,1.0000,0.0000
12,1.0000,0.0000,1.0000,1.0000,0.0000
13,1.0000,0.0000,1.0000,1.0000,0.0000
14,1.0000,0.0000,1.0000,1.0000,0.0000
15,1.0000,0.0000,1.0000,1.0000,0.0000
16,1.0000,0.0000,1.0000,1.0000,0.0000
17,1.0000,0.0000,1.0000,1.0000,0.0000
18,1.0000,0.0000,1.0000,1.0000,0.0000
19,1.0000,0.0000,1.0000,1.0000,0.0000
